server,cpu_mean,cpu_median,cpu_p25,cpu_p75,cpu_max,cpu_std,mem_mean,mem_median,mem_p25,mem_p75,mem_max,mem_std,uptime_ratio,samples_count,cpu_cv,mem_cv,cpu_peak_to_mean,mem_peak_to_mean,cpu_iqr,mem_iqr,cluster
gti-com-hp05.hci.bri.co.id,49.26150289017341,48.03,42.04,55.08,100.0,10.844068362861872,52.2035260115607,51.95,48.5,55.73,87.26,6.21602633723439,1.0,173,0.22013271472935564,0.11907292116355941,2.0299827275458093,1.671534600568473,13.04,7.229999999999997,0
gti-com-hp06.hci.bri.co.id,31.392543352601155,31.87,24.91,36.46,58.51,8.657544458556867,50.67404624277457,50.29,46.63,54.32,77.71,6.272046218363751,1.0,173,0.2757834674723643,0.12377235850310767,1.8638184024408433,1.5335266425676513,11.55,7.689999999999998,1
gti-com-hp07.hci.bri.co.id,43.04023121387283,43.89,36.66,48.01,69.01,8.673867793802767,46.65202312138729,46.24,43.63,49.82,63.17,5.426344647368099,1.0,173,0.20152930291431578,0.11631531248385303,1.6033835798204665,1.3540677504088814,11.350000000000001,6.189999999999998,1
gti-com-hp08.hci.bri.co.id,54.31306358381503,54.84,48.79,59.44,85.13,8.785288203337497,56.51115606936416,56.12,53.4,59.48,80.79,4.828280767246372,1.0,173,0.16175276487175475,0.08543942653234589,1.567394552668324,1.4296292204823233,10.649999999999999,6.079999999999998,0
gti-com-hp09.hci.bri.co.id,69.98982658959538,71.27,64.02,76.29,99.33,8.9707935970265,47.87705202312139,47.93,44.69,50.3,68.11,4.649747927983784,1.0,173,0.12817282216784473,0.0971185094215548,1.4192062595389585,1.4226022096579267,12.27000000000001,5.609999999999999,0
gti-com-hp10.hci.bri.co.id,60.078843930635834,60.63,54.53,65.22,100.0,8.763364865849896,46.89473988439306,47.07,44.46,49.43,63.88,3.9736641117039793,1.0,173,0.1458644057127274,0.08473581731128113,1.6644794316524336,1.3621996871606439,10.689999999999998,4.969999999999999,0
gti-com-hp11.hci.bri.co.id,56.35034682080925,56.15,49.38,61.75,96.7,10.484007582756465,51.62606936416185,50.86,47.2,55.51,73.24,6.065467795360553,1.0,173,0.1860504535330543,0.11748846794001952,1.7160497753012993,1.418663107651621,12.369999999999997,8.309999999999995,0
gti-com-hp12.hci.bri.co.id,45.31306358381503,44.79,40.23,51.01,84.71,8.58201691894722,53.18774566473988,53.25,49.56,56.12,77.51,5.770254730587528,1.0,173,0.18939387982613815,0.10848842451340898,1.8694388174243157,1.457290566300204,10.780000000000001,6.559999999999995,0
gti-com-hp13.hci.bri.co.id,42.594855491329476,41.67,37.41,46.82,88.48,8.350698940733244,27.47890173410405,27.9,25.0,29.87,36.64,3.7085281128155794,1.0,173,0.19604947227566238,0.1349591096726012,2.0772461598798198,1.3333866234736056,9.410000000000004,4.870000000000001,1
gti-com-hp14.hci.bri.co.id,38.992427745664735,39.38,32.27,44.2,70.36,9.076709967781591,38.482832369942194,38.57,34.56,42.61,59.14,6.06036250361521,1.0,173,0.23278134993250735,0.15748223637376493,1.80445291734426,1.5367891695568778,11.93,8.049999999999997,1
gti-com-hp15.hci.bri.co.id,47.12809248554913,46.61,42.17,51.26,84.97,8.827532863519284,26.43202312138728,26.36,23.96,28.32,40.54,3.6009000747451343,1.0,173,0.1873093604674551,0.13623248051078965,1.802958607460175,1.5337456317218998,9.089999999999996,4.359999999999999,1
gti-com-hp16.hci.bri.co.id,43.22052023121387,43.23,37.4,47.8,83.24,9.635256858422924,35.83369942196532,35.71,32.02,39.25,48.94,5.396209281227146,1.0,173,0.2229324590929921,0.15059034842267446,1.925937021458711,1.3657534887397305,10.399999999999999,7.229999999999997,1
gti-com-hp17.hci.bri.co.id,44.59121387283237,43.8,39.01,49.54,83.39,8.798836750906835,34.16092485549133,34.11,31.28,36.87,45.38,4.525393630587548,1.0,173,0.19732220737474948,0.1324728077395743,1.8700993482217394,1.3284183666562885,10.530000000000001,5.589999999999996,1
gti-com-hp18.hci.bri.co.id,30.706936416184973,30.39,26.24,35.58,50.96,7.335279704999991,33.933294797687864,33.82,30.42,37.39,46.04,5.004551545764811,1.0,173,0.23888021929578493,0.14748204014971777,1.65955988931348,1.3567795368676387,9.34,6.969999999999999,1
