server,cpu_mean,cpu_median,cpu_p25,cpu_p75,cpu_max,cpu_std,mem_mean,mem_median,mem_p25,mem_p75,mem_max,mem_std,uptime_ratio,samples_count,cpu_cv,mem_cv,cpu_peak_to_mean,mem_peak_to_mean,cpu_iqr,mem_iqr,cluster
gti-com-lnv25.hci.bri.co.id,62.02398843930636,62.94,57.29,65.15,100.0,8.903893108536156,61.77861271676301,62.81,58.31,63.86,81.34,3.5644384298329377,1.0,173,0.1435556360141056,0.05769696458181819,1.6122794182746747,1.3166368816489984,7.8600000000000065,5.549999999999997,0
gti-com-lnv26.hci.bri.co.id,49.98560693641619,50.64,43.94,55.88,100.0,9.335546053856332,26.512138728323702,26.09,23.7,28.91,46.53,4.638911578356001,1.0,173,0.18676468339639332,0.17497311800802076,2.0005758883192963,1.755045131469934,11.940000000000005,5.210000000000001,1
gti-com-lnv27.hci.bri.co.id,46.05179190751445,45.57,39.22,51.9,79.8,9.745902581045865,64.82040462427746,64.68,61.24,68.34,100.0,7.181658757539653,1.0,173,0.21162917179462865,0.11079318000507939,1.732831594485224,1.5427240940508813,12.68,7.100000000000001,0
gti-com-lnv28.hci.bri.co.id,43.758034682080925,43.52,39.13,48.48,61.87,6.820464559892063,52.92878612716763,53.06,49.9,56.19,72.97,5.071475890112508,1.0,173,0.15586770771231798,0.09581696957734286,1.4139117638511307,1.3786448800220166,9.349999999999994,6.289999999999999,1
gti-com-lnv29.hci.bri.co.id,68.9713294797688,70.4,64.07,73.8,100.0,8.685335607652483,57.97254335260116,59.05,55.25,60.68,73.52,3.8253968337428246,1.0,173,0.12592675352445007,0.06598635513498105,1.4498778079858932,1.2681865543285888,9.730000000000004,5.43,0
gti-com-lnv30.hci.bri.co.id,24.920462427745665,25.07,19.57,29.64,55.69,7.789262198621308,46.95271676300578,47.16,43.91,50.41,68.01,5.082316711666294,1.0,173,0.3125649141224998,0.10824329372290274,2.234709735482135,1.4484784840732652,10.07,6.5,1
gti-com-mdm01.hci.bri.co.id,64.82387283236994,64.93,56.94,72.58,100.0,11.775835749040722,31.500578034682082,31.9,28.24,35.03,50.64,5.548374024441405,1.0,173,0.18165893573641026,0.1761356257759034,1.5426415551966957,1.6075895478567235,15.64,6.790000000000003,1
gti-com-mdm02.hci.bri.co.id,5.289942196531792,4.94,1.65,7.96,21.13,4.351727603627577,3.941271676300578,3.62,1.6,5.96,16.39,2.976400120239695,1.0,173,0.8226418062716583,0.7551877578339012,3.994372568731151,4.158556259533028,6.3100000000000005,4.359999999999999,2
gti-com-mdm03.hci.bri.co.id,15.466473988439306,14.92,10.07,19.99,52.38,7.75436049465109,23.175895953757223,22.8,20.0,27.04,39.28,5.514779922513917,1.0,173,0.5013657605765365,0.23795325684571314,3.3866801210898085,1.694864357277718,9.919999999999998,7.039999999999999,1
gti-com-mdm04.hci.bri.co.id,32.8193063583815,33.03,28.41,36.54,100.0,5.77454272666767,30.943236994219657,30.77,29.05,32.98,42.5,2.9222528217066204,1.0,173,0.17594956650243002,0.09443914423861056,3.046987005392991,1.373482677586033,8.129999999999999,3.929999999999996,1
